MoveIt! version 65804
Experiment unfurl
Running on ML003
Starting at 2023-Jun-23 13:47:58.866491
<<<|
|>>>
0 is the random seed
30 seconds per run
-1 MB per run
1.58049 seconds spent to collect the data
0 enum types
4 planners
rrtconnect
0 common properties
20 properties for each run
time REAL
success BOOLEAN
correct BOOLEAN
length REAL
machine_hostname VARCHAR(128)
machine_process_id BIGINT
machine_thread_id BIGINT
query_finish_time REAL
query_index INT
query_start_time REAL
query_timeout_trial INT
query_trial INT
request_group_name VARCHAR(128)
request_num_planning_attempts INT
request_planner_id VARCHAR(128)
request_planner_type VARCHAR(128)
robowflex_planner_name VARCHAR(128)
robowflex_robot_name VARCHAR(128)
smoothness REAL
waypoints INT
200 runs
0.00725; 0; 0; 0; ML003; 17722; 140548090627840; 0.0074440000000000001; 0; 0.000194; 0; 1; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006705; 0; 0; 0; ML003; 17722; 140548099020544; 0.042618999999999997; 0; 0.035914000000000001; 0; 20; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006761; 0; 0; 0; ML003; 17722; 140548082235136; 0.044476000000000002; 0; 0.037714999999999999; 0; 21; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011608; 0; 0; 0; ML003; 17722; 140548090627840; 0.045305999999999999; 0; 0.033697999999999999; 0; 18; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011927; 0; 0; 0; ML003; 17722; 140548073842432; 0.045960000000000001; 0; 0.034033000000000001; 0; 19; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007099; 0; 0; 0; ML003; 17722; 140548099020544; 0.049782; 0; 0.042682999999999999; 0; 22; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006652; 0; 0; 0; ML003; 17722; 140548082235136; 0.051255000000000002; 0; 0.044602999999999997; 0; 23; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006477; 0; 0; 0; ML003; 17722; 140548099020544; 0.056334000000000002; 0; 0.049856999999999999; 0; 26; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011345; 0; 0; 0; ML003; 17722; 140548090627840; 0.056723000000000003; 0; 0.045378000000000002; 0; 24; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01139; 0; 0; 0; ML003; 17722; 140548073842432; 0.057423000000000002; 0; 0.046032999999999998; 0; 25; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007459; 0; 0; 0; ML003; 17722; 140548082235136; 0.058761000000000001; 0; 0.051302; 0; 27; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007599; 0; 0; 0; ML003; 17722; 140548099020544; 0.063989000000000004; 0; 0.056390000000000003; 0; 28; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006996; 0; 0; 0; ML003; 17722; 140548082235136; 0.065813999999999998; 0; 0.058818000000000002; 0; 31; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011236; 0; 0; 0; ML003; 17722; 140548090627840; 0.068056000000000005; 0; 0.056820000000000002; 0; 29; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.012068; 0; 0; 0; ML003; 17722; 140548073842432; 0.069563; 0; 0.057494999999999997; 0; 30; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006887; 0; 0; 0; ML003; 17722; 140548099020544; 0.070966000000000001; 0; 0.064078999999999997; 0; 32; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006755; 0; 0; 0; ML003; 17722; 140548082235136; 0.072663000000000005; 0; 0.065907999999999994; 0; 33; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00641; 0; 0; 0; ML003; 17722; 140548099020544; 0.077454999999999996; 0; 0.071044999999999997; 0; 36; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011517; 0; 0; 0; ML003; 17722; 140548090627840; 0.079671000000000006; 0; 0.068154000000000006; 0; 34; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007013; 0; 0; 0; ML003; 17722; 140548082235136; 0.079732999999999998; 0; 0.072720000000000007; 0; 37; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011351; 0; 0; 0; ML003; 17722; 140548073842432; 0.081013000000000002; 0; 0.069662000000000002; 0; 35; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006554; 0; 0; 0; ML003; 17722; 140548099020544; 0.084062999999999999; 0; 0.077508999999999995; 0; 38; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006845; 0; 0; 0; ML003; 17722; 140548082235136; 0.086687; 0; 0.079841999999999996; 0; 40; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00663; 0; 0; 0; ML003; 17722; 140548099020544; 0.090761999999999995; 0; 0.084131999999999998; 0; 42; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011776; 0; 0; 0; ML003; 17722; 140548090627840; 0.091559000000000001; 0; 0.079783000000000007; 0; 39; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011634; 0; 0; 0; ML003; 17722; 140548073842432; 0.092718999999999996; 0; 0.081085000000000004; 0; 41; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.008583; 0; 0; 0; ML003; 17722; 140548082235136; 0.095357999999999998; 0; 0.086775000000000005; 0; 43; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006923; 0; 0; 0; ML003; 17722; 140548099020544; 0.097757999999999998; 0; 0.090834999999999999; 0; 44; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006627; 0; 0; 0; ML003; 17722; 140548082235136; 0.10204100000000001; 0; 0.095413999999999999; 0; 47; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.0119; 0; 0; 0; ML003; 17722; 140548090627840; 0.103532; 0; 0.091632000000000005; 0; 45; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01156; 0; 0; 0; ML003; 17722; 140548073842432; 0.104376; 0; 0.092815999999999996; 0; 46; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00678; 0; 0; 0; ML003; 17722; 140548099020544; 0.10459300000000001; 0; 0.097812999999999997; 0; 48; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006651; 0; 0; 0; ML003; 17722; 140548082235136; 0.108749; 0; 0.10209799999999999; 0; 49; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006577; 0; 0; 0; ML003; 17722; 140548099020544; 0.111235; 0; 0.104658; 0; 52; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011501; 0; 0; 0; ML003; 17722; 140548090627840; 0.115134; 0; 0.103633; 0; 50; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006818; 0; 0; 0; ML003; 17722; 140548082235136; 0.11562699999999999; 0; 0.108809; 0; 53; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011196; 0; 0; 0; ML003; 17722; 140548073842432; 0.115671; 0; 0.104475; 0; 51; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006743; 0; 0; 0; ML003; 17722; 140548099020544; 0.118036; 0; 0.111293; 0; 54; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006816; 0; 0; 0; ML003; 17722; 140548082235136; 0.12253699999999999; 0; 0.115721; 0; 56; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006811; 0; 0; 0; ML003; 17722; 140548099020544; 0.12490800000000001; 0; 0.11809699999999999; 0; 58; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011359; 0; 0; 0; ML003; 17722; 140548090627840; 0.126581; 0; 0.115222; 0; 55; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011286; 0; 0; 0; ML003; 17722; 140548073842432; 0.12707499999999999; 0; 0.115789; 0; 57; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007616; 0; 0; 0; ML003; 17722; 140548082235136; 0.13022600000000001; 0; 0.12261; 0; 59; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006827; 0; 0; 0; ML003; 17722; 140548099020544; 0.131823; 0; 0.124996; 0; 60; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006675; 0; 0; 0; ML003; 17722; 140548082235136; 0.136963; 0; 0.13028799999999999; 0; 63; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011445; 0; 0; 0; ML003; 17722; 140548090627840; 0.138127; 0; 0.12668199999999999; 0; 61; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006486; 0; 0; 0; ML003; 17722; 140548099020544; 0.13836200000000001; 0; 0.13187599999999999; 0; 64; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011487; 0; 0; 0; ML003; 17722; 140548073842432; 0.138659; 0; 0.12717200000000001; 0; 62; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00678; 0; 0; 0; ML003; 17722; 140548082235136; 0.14380200000000001; 0; 0.137022; 0; 65; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006653; 0; 0; 0; ML003; 17722; 140548099020544; 0.14508099999999999; 0; 0.138428; 0; 67; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011306; 0; 0; 0; ML003; 17722; 140548090627840; 0.149505; 0; 0.13819899999999999; 0; 66; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011405; 0; 0; 0; ML003; 17722; 140548073842432; 0.15013599999999999; 0; 0.13873099999999999; 0; 68; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007198; 0; 0; 0; ML003; 17722; 140548082235136; 0.151057; 0; 0.14385899999999999; 0; 69; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007279; 0; 0; 0; ML003; 17722; 140548099020544; 0.15240999999999999; 0; 0.14513100000000001; 0; 70; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007918; 0; 0; 0; ML003; 17722; 140548082235136; 0.159056; 0; 0.15113799999999999; 0; 73; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00689; 0; 0; 0; ML003; 17722; 140548099020544; 0.159361; 0; 0.152471; 0; 74; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01152; 0; 0; 0; ML003; 17722; 140548090627840; 0.16112499999999999; 0; 0.14960499999999999; 0; 71; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011335; 0; 0; 0; ML003; 17722; 140548073842432; 0.16156899999999999; 0; 0.15023400000000001; 0; 72; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00686; 0; 0; 0; ML003; 17722; 140548082235136; 0.16600999999999999; 0; 0.15915000000000001; 0; 75; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006824; 0; 0; 0; ML003; 17722; 140548099020544; 0.16623299999999999; 0; 0.159409; 0; 76; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006707; 0; 0; 0; ML003; 17722; 140548082235136; 0.172795; 0; 0.16608800000000001; 0; 79; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011831; 0; 0; 0; ML003; 17722; 140548090627840; 0.173036; 0; 0.16120499999999999; 0; 77; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006731; 0; 0; 0; ML003; 17722; 140548099020544; 0.17306299999999999; 0; 0.16633200000000001; 0; 80; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011745; 0; 0; 0; ML003; 17722; 140548073842432; 0.17338600000000001; 0; 0.16164100000000001; 0; 78; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006625; 0; 0; 0; ML003; 17722; 140548082235136; 0.17949799999999999; 0; 0.172873; 0; 81; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006717; 0; 0; 0; ML003; 17722; 140548099020544; 0.17990300000000001; 0; 0.17318600000000001; 0; 83; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01162; 0; 0; 0; ML003; 17722; 140548090627840; 0.18476000000000001; 0; 0.17313999999999999; 0; 82; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011338; 0; 0; 0; ML003; 17722; 140548073842432; 0.18479400000000001; 0; 0.173456; 0; 84; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006897; 0; 0; 0; ML003; 17722; 140548099020544; 0.18690599999999999; 0; 0.180009; 0; 86; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.008062; 0; 0; 0; ML003; 17722; 140548082235136; 0.18764; 0; 0.17957799999999999; 0; 85; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00679; 0; 0; 0; ML003; 17722; 140548099020544; 0.193801; 0; 0.18701100000000001; 0; 89; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006578; 0; 0; 0; ML003; 17722; 140548082235136; 0.194267; 0; 0.18768899999999999; 0; 90; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011392; 0; 0; 0; ML003; 17722; 140548073842432; 0.19628599999999999; 0; 0.184894; 0; 88; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011471; 0; 0; 0; ML003; 17722; 140548090627840; 0.19633700000000001; 0; 0.184866; 0; 87; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007105; 0; 0; 0; ML003; 17722; 140548099020544; 0.200985; 0; 0.19388; 0; 91; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006816; 0; 0; 0; ML003; 17722; 140548082235136; 0.20113200000000001; 0; 0.19431599999999999; 0; 92; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011059; 0; 0; 0; ML003; 17722; 140548073842432; 0.20746600000000001; 0; 0.196407; 0; 93; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006573; 0; 0; 0; ML003; 17722; 140548099020544; 0.20760799999999999; 0; 0.20103499999999999; 0; 95; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006782; 0; 0; 0; ML003; 17722; 140548082235136; 0.20796500000000001; 0; 0.201183; 0; 96; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011721; 0; 0; 0; ML003; 17722; 140548090627840; 0.20815; 0; 0.19642899999999999; 0; 94; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006407; 0; 0; 0; ML003; 17722; 140548099020544; 0.21412300000000001; 0; 0.20771600000000001; 0; 98; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006713; 0; 0; 0; ML003; 17722; 140548082235136; 0.214728; 0; 0.20801500000000001; 0; 99; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011469; 0; 0; 0; ML003; 17722; 140548073842432; 0.219026; 0; 0.20755699999999999; 0; 97; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01146; 0; 0; 0; ML003; 17722; 140548090627840; 0.21967999999999999; 1; 0.20821999999999999; 0; 0; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006929; 0; 0; 0; ML003; 17722; 140548099020544; 0.22111500000000001; 1; 0.21418599999999999; 0; 1; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007849; 0; 0; 0; ML003; 17722; 140548082235136; 0.22262699999999999; 1; 0.214778; 0; 2; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006695; 0; 0; 0; ML003; 17722; 140548099020544; 0.22789899999999999; 1; 0.22120400000000001; 0; 5; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007345; 0; 0; 0; ML003; 17722; 140548082235136; 0.230049; 1; 0.22270400000000001; 0; 6; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011621; 0; 0; 0; ML003; 17722; 140548073842432; 0.230743; 1; 0.21912200000000001; 0; 3; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011552; 0; 0; 0; ML003; 17722; 140548090627840; 0.231327; 1; 0.219775; 0; 4; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00672; 0; 0; 0; ML003; 17722; 140548099020544; 0.23468; 1; 0.22796; 0; 7; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006722; 0; 0; 0; ML003; 17722; 140548082235136; 0.236847; 1; 0.230125; 0; 8; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006824; 0; 0; 0; ML003; 17722; 140548099020544; 0.241589; 1; 0.234765; 0; 11; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011053; 0; 0; 0; ML003; 17722; 140548073842432; 0.241897; 1; 0.23084399999999999; 0; 9; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011577; 0; 0; 0; ML003; 17722; 140548090627840; 0.24297199999999999; 1; 0.23139499999999999; 0; 10; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
